NFT_ID,EDITION_ID,PLAY_ID,SERIAL_NUMBER,MINTED_AT,BURNED_AT,CURRENT_OWNER
10000497,4370,,883,2025-09-10 15:31:43.444,,0x379c2a0e88d8081f
10012287,4370,,4773,2025-09-10 15:31:44.867,,0x379c2a0e88d8081f
10040715,4375,,5101,2025-09-10 15:32:16.416,,0x379c2a0e88d8081f
10054015,4377,,3301,2025-09-10 15:32:28.560,,0x379c2a0e88d8081f
10066138,4379,,924,2025-09-10 15:32:39.443,,0x379c2a0e88d8081f
1007037,552,,4362,2022-01-05 01:37:26.941,,0x379c2a0e88d8081f
10071065,4379,,5151,2025-09-10 15:32:42.867,,0x379c2a0e88d8081f
10092976,4382,,4862,2025-09-10 15:33:05.308,,0x379c2a0e88d8081f
10098383,4383,,2769,2025-09-10 15:33:10.699,,0x379c2a0e88d8081f
10100865,4384,,251,2025-09-10 15:33:17.379,,0x379c2a0e88d8081f
10102148,4384,,634,2025-09-10 15:33:17.379,,0x379c2a0e88d8081f
10113213,4385,,2699,2025-09-10 15:33:26.658,,0x379c2a0e88d8081f
10118712,4386,,998,2025-09-10 15:33:32.292,,0x379c2a0e88d8081f
10121709,4386,,3595,2025-09-10 15:33:35.785,,0x379c2a0e88d8081f
10121873,4386,,3759,2025-09-10 15:33:35.785,,0x379c2a0e88d8081f
10122833,4386,,4719,2025-09-10 15:33:36.700,,0x379c2a0e88d8081f
10151835,4390,,3821,2025-09-10 15:34:01.542,,0x379c2a0e88d8081f
1016454,553,,3779,2022-01-05 01:54:41.794,,0x379c2a0e88d8081f
1016762,553,,4087,2022-01-05 01:55:03.258,,0x379c2a0e88d8081f
1019243,553,,6568,2022-01-05 01:59:15.123,,0x379c2a0e88d8081f
10200503,4396,,7289,2025-09-10 15:34:47.294,,0x379c2a0e88d8081f
10208368,4414,,55,2025-09-11 00:21:54.428,,0x379c2a0e88d8081f
10208655,4406,,43,2025-09-11 00:21:54.428,,0x379c2a0e88d8081f
1021155,553,,8480,2022-01-05 02:02:56.759,,0x379c2a0e88d8081f
1021260,553,,8585,2022-01-05 02:03:22.132,,0x379c2a0e88d8081f
10222123,4423,,3934,2025-09-11 13:40:37.435,,0x379c2a0e88d8081f
10229755,4457,,16,2025-09-18 20:47:42.202,,0x379c2a0e88d8081f
10229940,4472,,1,2025-09-18 20:47:42.202,,0x379c2a0e88d8081f
10230430,4444,,16,2025-09-18 20:47:42.202,,0x379c2a0e88d8081f
10231330,4425,,194,2025-09-18 21:04:33.122,,0x379c2a0e88d8081f
10234558,4446,,132,2025-09-18 21:04:34.523,,0x379c2a0e88d8081f
1023798,554,,1123,2022-01-05 02:08:09.898,,0x379c2a0e88d8081f
10239347,4498,,16,2025-09-24 23:39:12.057,,0x379c2a0e88d8081f
10239548,4509,,17,2025-09-24 23:39:13.937,,0x379c2a0e88d8081f
1024154,554,,1479,2022-01-05 02:08:31.857,,0x379c2a0e88d8081f
10248675,4536,,4399,2025-09-30 15:39:19.678,,0x379c2a0e88d8081f
10249085,4536,,4609,2025-09-30 15:39:19.678,,0x379c2a0e88d8081f
10252474,4577,,4,2025-09-30 22:28:03.804,,0x379c2a0e88d8081f
10254600,4588,,160,2025-09-30 22:28:04.416,,0x379c2a0e88d8081f
10256653,4563,,19,2025-09-30 22:28:06.690,,0x379c2a0e88d8081f
10256940,4567,,281,2025-09-30 22:28:06.690,,0x379c2a0e88d8081f
1025729,554,,3054,2022-01-05 02:11:03.291,,0x379c2a0e88d8081f
10262212,4638,,5,2025-10-07 20:38:48.620,,0x379c2a0e88d8081f
10262353,4600,,22,2025-10-07 20:38:48.620,,0x379c2a0e88d8081f
10263340,4645,,13,2025-10-07 20:38:49.671,,0x379c2a0e88d8081f
10265326,4633,,3,2025-10-07 20:38:49.671,,0x379c2a0e88d8081f
10266374,4635,,4,2025-10-07 20:38:49.671,,0x379c2a0e88d8081f
10268290,4620,,25,2025-10-07 20:38:50.709,,0x379c2a0e88d8081f
1026835,554,,4160,2022-01-05 02:12:52.872,,0x379c2a0e88d8081f
1026957,554,,4282,2022-01-05 02:13:15.270,,0x379c2a0e88d8081f
10277701,4686,,10,2025-10-13 20:44:55.649,,0x379c2a0e88d8081f
1029002,554,,6327,2022-01-05 02:16:23.620,,0x379c2a0e88d8081f
10305745,4713,,68,2025-10-21 23:49:33.191,,0x379c2a0e88d8081f
10309018,4733,,159,2025-10-21 23:49:33.458,,0x379c2a0e88d8081f
10310318,4740,,69,2025-10-21 23:49:34.434,,0x379c2a0e88d8081f
10310922,4769,,1,2025-10-22 00:10:59.771,,0x379c2a0e88d8081f
1031196,554,,8521,2022-01-05 02:20:40.022,,0x379c2a0e88d8081f
10313693,4804,,11,2025-10-24 23:50:11.862,,0x379c2a0e88d8081f
1031607,554,,8932,2022-01-05 02:21:31.147,,0x379c2a0e88d8081f
10316595,4823,,191,2025-10-24 23:50:13.816,,0x379c2a0e88d8081f
1032609,554,,9934,2022-01-05 02:23:15.583,,0x379c2a0e88d8081f
1033129,555,,454,2022-01-05 02:24:30.328,,0x379c2a0e88d8081f
1033437,555,,762,2022-01-05 02:24:57.895,,0x379c2a0e88d8081f
1035234,555,,2559,2022-01-05 02:28:27.068,,0x379c2a0e88d8081f
1036075,555,,3400,2022-01-05 02:29:58.080,,0x379c2a0e88d8081f
10385844,4843,,2546,2025-10-29 19:29:56.351,,0x379c2a0e88d8081f
1038717,555,,6042,2022-01-05 02:34:33.488,,0x379c2a0e88d8081f
1040295,555,,7620,2022-01-05 02:37:32.030,,0x379c2a0e88d8081f
10411893,4912,,17,2025-10-31 18:40:27.526,,0x379c2a0e88d8081f
10411899,4912,,23,2025-10-31 18:40:27.526,,0x379c2a0e88d8081f
10411902,4913,,1,2025-10-31 18:40:27.526,,0x379c2a0e88d8081f
10412314,4897,,11,2025-10-31 18:40:27.526,,0x379c2a0e88d8081f
1041681,555,,9006,2022-01-05 02:39:58.813,,0x379c2a0e88d8081f
10430161,4922,,4,2025-11-10 22:51:21.269,,0x379c2a0e88d8081f
10430775,4935,,44,2025-11-10 22:51:21.269,,0x379c2a0e88d8081f
10431114,4923,,183,2025-11-10 22:51:21.269,,0x379c2a0e88d8081f
1054546,557,,1871,2022-01-05 03:03:13.429,,0x379c2a0e88d8081f
105767,363,,5415,2021-12-10 02:59:23.572,,0x379c2a0e88d8081f
106485,363,,6133,2021-12-10 03:00:25.706,,0x379c2a0e88d8081f
1068315,558,,5640,2022-01-05 03:27:17.834,,0x379c2a0e88d8081f
1073540,559,,865,2022-01-05 03:36:33.899,,0x379c2a0e88d8081f
1075477,559,,2802,2022-01-05 03:40:15.326,,0x379c2a0e88d8081f
1075912,559,,3237,2022-01-05 03:41:15.927,,0x379c2a0e88d8081f
1077200,559,,4525,2022-01-05 03:43:35.465,,0x379c2a0e88d8081f
1077205,559,,4530,2022-01-05 03:43:35.465,,0x379c2a0e88d8081f
1083219,560,,544,2022-01-05 03:53:52.479,,0x379c2a0e88d8081f
1083811,560,,1136,2022-01-05 03:54:53.324,,0x379c2a0e88d8081f
1083889,560,,1214,2022-01-05 03:54:53.324,,0x379c2a0e88d8081f
1085683,560,,3008,2022-01-05 03:57:57.009,,0x379c2a0e88d8081f
1085923,560,,3248,2022-01-05 03:58:23.730,,0x379c2a0e88d8081f
1089949,560,,7274,2022-01-05 04:04:59.134,,0x379c2a0e88d8081f
1093696,561,,1021,2022-01-05 04:11:33.522,,0x379c2a0e88d8081f
1097812,561,,5137,2022-01-05 04:18:39.834,,0x379c2a0e88d8081f
1098633,561,,5958,2022-01-05 04:20:00.644,,0x379c2a0e88d8081f
1100361,561,,7686,2022-01-05 04:22:42.222,,0x379c2a0e88d8081f
1101497,561,,8822,2022-01-05 04:24:53.258,,0x379c2a0e88d8081f
1103472,562,,797,2022-01-05 04:28:32.020,,0x379c2a0e88d8081f
1103680,562,,1005,2022-01-05 04:28:55.995,,0x379c2a0e88d8081f
1105924,562,,3249,2022-01-05 04:32:38.339,,0x379c2a0e88d8081f
1110353,562,,7678,2022-01-05 04:40:21.029,,0x379c2a0e88d8081f
1110366,562,,7691,2022-01-05 04:40:21.029,,0x379c2a0e88d8081f
1110881,562,,8206,2022-01-05 04:41:31.368,,0x379c2a0e88d8081f
1111044,562,,8369,2022-01-05 04:41:48.665,,0x379c2a0e88d8081f
1111106,562,,8431,2022-01-05 04:41:48.665,,0x379c2a0e88d8081f
1114116,563,,1441,2022-01-05 04:46:50.716,,0x379c2a0e88d8081f
1116085,563,,3410,2022-01-05 04:50:20.252,,0x379c2a0e88d8081f
1123686,564,,1011,2022-01-05 05:03:18.124,,0x379c2a0e88d8081f
1124030,564,,1355,2022-01-05 05:04:07.183,,0x379c2a0e88d8081f
1124151,564,,1476,2022-01-05 05:04:07.183,,0x379c2a0e88d8081f
1128923,564,,6248,2022-01-05 05:12:41.637,,0x379c2a0e88d8081f
1129313,564,,6638,2022-01-05 05:13:29.316,,0x379c2a0e88d8081f
1133340,565,,665,2022-01-05 05:20:46.937,,0x379c2a0e88d8081f
1136176,565,,3501,2022-01-05 05:25:38.449,,0x379c2a0e88d8081f
1136355,565,,3680,2022-01-05 05:25:57.348,,0x379c2a0e88d8081f
1137199,565,,4524,2022-01-05 05:27:30.910,,0x379c2a0e88d8081f
1137833,565,,5158,2022-01-05 05:28:48.450,,0x379c2a0e88d8081f
1138033,565,,5358,2022-01-05 05:29:09.317,,0x379c2a0e88d8081f
1138117,565,,5442,2022-01-05 05:29:09.317,,0x379c2a0e88d8081f
1141497,565,,8822,2022-01-05 05:35:09.007,,0x379c2a0e88d8081f
1142119,565,,9444,2022-01-05 05:35:54.360,,0x379c2a0e88d8081f
1142308,565,,9633,2022-01-05 05:36:16.901,,0x379c2a0e88d8081f
1143789,566,,1114,2022-01-05 05:39:26.429,,0x379c2a0e88d8081f
1144234,566,,1559,2022-01-05 05:40:14.198,,0x379c2a0e88d8081f
1144970,566,,2295,2022-01-05 05:41:23.622,,0x379c2a0e88d8081f
