edition_id,lowest_ask,avg_sale,top_sale
101,,,
100,,,
1,,,
1017,5600,13491.44,50000
1010,6,42.6,400
102,,,
1002,2,15.63,1000
1016,450,961.7,4000
1011,79,523.7,1450
1003,4,39.62,659
10,,,
1013,179,661.68,1499
1004,5,35.61,180
1014,699,765.4,1799
1019,2,26.04,1000
1000,1,6.6,200
1012,199,569.27,5000
1007,5,42,300
1006,5,40.63,300
1001,2,10.71,1181
1005,11,47.75,1053
1009,21,87.71,600
1018,1,9.18,76
103,,,
1029,11,58.65,550
1027,12,38.63,205
1021,5,44.25,400
1015,575,1603.41,11250
1025,1,16.21,380
1008,13,58.33,1000
1023,119,731.49,4000
1022,445,1083.44,3250
1031,6,50.67,182
1034,5,41.13,749
1036,475,671.1,2130.13
1035,6,75.87,599
1020,24,46.49,1185
1038,1,6.8,375
104,,,
1032,5,46.29,750
1030,495,783.78,3500
1033,7,46.16,275
1040,1,5.99,213
1028,6,47.83,500
1024,1,13.76,232
1039,2,10.98,750
1026,1,8.82,370
1037,79,318.83,1100
1041,2,6.24,99
1044,2,11.51,1000
1042,1,6.88,200
1045,2,7.17,399
106,,,
1046,1,11.1,613
1055,1,12.55,500
1052,1,6.33,68
1043,1,6.03,100
1057,1,8.26,55
105,,,
1050,1,5.64,120
1053,1,4.55,20
1054,1,5.36,63
1049,1,6.04,60
1051,1,5.2,50
1058,4,30.97,149
1061,5,28.46,527
1056,1,10.22,105
1047,1,7.3,122
1062,24,56.46,195
1048,1,7.71,100
1060,8,41.49,350
1063,4,34.27,160
108,,,
1077,349,684.37,1800
1070,5,30.33,315
1059,6,47.42,199
1067,4,28.11,500
1075,50,429.81,900
1071,9,42.73,216
1076,94,719.5,1600
1083,4,54.08,140
1064,6,33.05,150
1078,95,458.85,1250
1074,789,1084.35,4469
1079,199,607.93,1148
1068,9,41.37,218
1081,2,10.29,369
1073,6,51,125
1072,8,54.63,350
1069,9,45.83,980
107,,,
1065,6,52.41,425
1090,1,5.56,350
1088,6,30.19,440
1080,2,10.95,405
1086,7,36.9,135
1089,45,416.44,1022
1084,14,80.34,595
1087,5,45.73,315
1094,1,5.92,1111
1095,1,5.33,110
1092,1,4.35,177
1091,1,4.12,457
1093,1,4.21,315
1097,1,7.92,150
1099,1,8.58,1888
1098,1,6.84,2000
11,,,
110,,,
1066,7,63.18,525
1102,1,5.18,530
111,,,
1108,1,5.57,180
1100,1,3.65,121
1105,1,5.24,400
1109,1,4.03,28
1111,1,7.57,3500
1112,2,4.36,250
1082,1,4.87,50
109,,,
1113,1,7.86,500
1085,80,511.08,1099
1104,1,4.95,125
1117,11,50.71,500
1115,1,3.59,39
1116,1,4.39,369
1114,1,4,66
1121,4,23.09,111
1122,4,34.9,295
1120,5,24.57,310
1110,2,3.98,70
112,,,
1125,5,39.4,350
1119,12,33.57,249
1126,7,46.38,239
113,,,
1133,14,56.77,299
1127,149,374.19,800
1130,299,791.16,3000
1096,1,3.63,174
1129,77,495.11,888
1131,17,71.44,730
1134,12,54.48,689
1123,5,47.29,1027
1103,1,5.42,60
1101,1,5.33,112
1128,150,455.55,999
1106,1,4.94,80
1139,4,26.08,75
1132,4,37.09,250
1107,1,6.02,375
1138,5,40.87,135
1137,11,29.11,85
1140,5,34.24,330
1118,3,26.13,275
1135,600,1245.65,2999
1143,1,2.94,200
1142,14,40.68,115
1124,4,27.57,105
1141,11,41.13,599
1145,2,3.07,871
1149,1,2.84,114
1151,1,3.15,27
114,,,
1146,1,3.08,400
1147,1,3.35,487
1150,1,2.92,25
1153,1,4.5,250
115,,,
1154,1,3.53,175
1136,4,30.08,75
1144,1,2.82,125
1148,1,2.82,275
1152,1,11.25,172
1160,2,3.13,34
1155,1,3.41,200
1158,1,3.92,399
1157,1,4.1,100
1159,1,3.78,95
1163,1,4.92,877
1168,9,48.6,900
1166,21,88.4,2050
1171,5,26.26,179
1172,4,31.82,360
1169,5,26.87,178
1176,99,277.8,500
1174,10,70.42,245
118,,,
117,,,
116,,,
1156,1,2.94,25
1161,1,6.71,500
1162,1,2.66,40
1175,5,27.26,85
1180,270,641.76,2200
1177,159,517.69,1199
1179,89,366.85,1150
1164,1,3.25,175
1165,5,37.38,500
1183,4,25.52,88
1173,4,27.32,135
1170,4,22.43,111
1167,3,19.86,200
1181,40,162.57,450
119,,,
1184,4,34.15,325
1186,2499,2544.33,3799
1178,440,1016.83,2900
1185,5,30.73,250
1188,1,3.36,200
1182,9,35.87,750
1187,4,18.77,125
1193,4,21.66,53
1195,5,38.91,111
1190,9,26.09,199
1191,65,215.88,1500
12,,,
120,,,
1192,17,45.53,810
1189,10,49.62,333
1196,3,19.33,200
1202,100,493.47,2777
1200,7,40.16,1150
1203,15000,7921.43,14500
1194,11,89.68,325
1199,5,38.37,1111
1201,71,387.48,3232
1204,4,22.53,79
1206,6,40.81,148
121,,,
1198,4,29.47,117
122,,,
1207,5,23.34,105
1205,21,50.83,200
1215,7777,5449.5,6999
1208,8,35.79,130
1209,18,67.09,612
1210,9,56.05,1000
1219,20,100.57,275
1222,1,1.95,42
1197,30,91.35,888
1221,1,2.31,179
1214,10,48.36,999
1218,9,26.28,1052
1212,22,67.72,350
1224,1,2.06,90
1217,29,89.84,314
1211,28,139.41,395
1216,10000,10000,10000
1220,1,2.41,217
1226,1,2.71,345
1223,1,3.17,375
123,26000,26000,34000
1231,1,2.45,85
1234,1,2.63,100
1229,1,2.48,120
1233,1,3.06,150
1228,1,2.63,99
1213,8,33.27,85
1238,1,2.17,25
1236,1,2.58,100
1225,1,2.2,50
1235,1,4.22,500
124,,,
1227,1,2.58,50
1243,1,2.22,85
1232,1,2.46,120
1242,1,6.82,120
1244,4,13.99,40
1240,1,2.28,100
1230,1,2.46,100
1247,4,23.92,345
1239,1,2.35,25
1246,4,18.93,325
1237,2,2.45,299
125,,,
1245,9,36.01,110
1241,1,2.09,78
126,,,
1251,4,19.5,125
1255,5,21.77,150
1250,4,16.91,225
127,,,
1264,23,194.64,425
1248,7,38.76,529
1257,5,24.23,199
1263,45,207.07,750
1266,25,111.27,625
1269,14,89.76,850
1249,4,26.2,75
1265,24,133.28,995
1252,12,27.69,256
1262,28,91.48,399
1273,25,220.97,475
1253,4,23.61,299
1272,35,242.77,888
1261,8,55.97,269
128,,,
1267,149,349.55,1000
1254,3,17.89,52
1259,18,26.62,120
1260,7,44.08,390
1275,60,148.42,550
1258,19,66.58,340
1270,16,99.05,418
1274,26,90.12,850
1281,139,409.61,2100
1277,450,1080.83,2899
1280,260,425.15,2176.23
1283,1,2.22,20
1278,200,572.84,1200
1256,9,37.75,375
1285,8,63.03,333
1268,22,97.14,225
1284,12,42.03,150
1276,135,301.54,495
1279,189,392.02,1500
1271,20,110.14,195
1282,275,595.57,950
129,,,
1287,68,174.71,3013
1288,4,33.23,184
1296,5,19.95,111
1290,209,446.89,899
1292,5,19.81,99
13,,,
1286,14,41.85,999
1293,12,52.97,160
1297,6,22.49,122
1298,1,3.58,100
1300,1,3.41,29
1302,1,4.58,25
1304,1,3.7,115
1301,1,3.6,150
1291,1,3.8,100
1289,499,615.93,2121.16
1294,149,503.73,1850
1305,1,3.55,50
131,,,
1303,1,3.97,55
1299,1,3.67,35
1310,4,23.86,387
1306,1,4.43,33
